City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,8.07000000000005,82,78,2.81,AU,1690114998
1,dudinka,69.4058,86.1778,20.430000000000007,61,35,6.14,RU,1690114998
2,bubaque,11.2833,-15.8333,26.99000000000001,83,96,6.49,GW,1690114999
3,keflavik,64.0049,-22.5624,13.240000000000009,71,75,2.57,IS,1690114999
4,avarua,-21.2078,-159.775,24.03000000000003,100,75,5.66,CK,1690114999
5,khorramabad,33.4878,48.3558,40.79000000000002,8,0,5.14,IR,1690114999
6,grytviken,-54.2811,-36.5092,-5.560000000000002,77,33,4.88,GS,1690114999
7,curvelo,-18.7564,-44.4308,20.75,62,0,4.14,BR,1690115000
8,vorgashor,67.5833,63.95,17.05000000000001,90,99,2.47,RU,1690115000
9,vernal,40.4555,-109.5287,19.810000000000002,47,0,2.06,US,1690115000
10,bethel,41.3712,-73.414,22.640000000000043,78,0,0.0,US,1690114751
11,phongsali,21.6833,102.1058,21.730000000000018,78,72,1.14,LA,1690115000
12,touros,-5.1989,-35.4608,27.470000000000027,63,65,8.15,BR,1690115001
13,kodiak,57.79,-152.4072,7.730000000000018,93,0,2.06,US,1690115001
14,iwanai,42.9744,140.5089,20.5,98,100,1.36,JP,1690115001
15,al bayda',32.7627,21.7551,34.700000000000045,21,0,6.89,LY,1690115001
16,undurkhaan,47.3194,110.6556,19.310000000000002,53,81,2.02,MN,1690115001
17,college,64.8569,-147.8028,16.99000000000001,79,20,3.09,US,1690114983
18,agadez,19.75,10.25,41.420000000000016,14,14,5.82,NE,1690115001
19,pisco,-13.7,-76.2167,20.03000000000003,73,100,1.03,PE,1690114714
20,georgetown,5.4112,100.3354,29.99000000000001,76,20,2.57,MY,1690114903
21,utrik,11.2278,169.8474,28.25,71,23,6.97,MH,1690115002
22,adamstown,-25.066,-130.1015,21.0,69,7,8.96,PN,1690115002
23,lihue,21.9789,-159.3672,25.77000000000004,86,100,8.23,US,1690114831
