City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,chernogorsk,53.8236,91.2842,295.91,49,0,6.0,RU,1690115011
84,manta,-0.95,-80.7333,299.82,74,100,5.81,EC,1690115011
85,cabedelo,-6.9811,-34.8339,300.52,69,74,7.74,BR,1690115011
86,west island,-12.1568,96.8225,299.14,83,40,6.17,CC,1690115012
87,labrador city,52.9463,-66.9114,290.1,94,100,2.06,CA,1690114809
88,aasiaat,68.7098,-52.8699,276.74,99,100,3.61,GL,1690115012
89,el jadid,33.2549,-8.506,296.8,71,64,6.48,MA,1690115012
90,napa,38.4832,-122.3344,295.03,63,91,1.52,US,1690115012
91,lazaro cardenas,17.9583,-102.2,297.96,88,95,3.01,MX,1690115012
92,acarau,-2.8856,-40.12,302.09,54,31,6.67,BR,1690115012
93,petropavlovsk-kamchatsky,53.0452,158.6483,290.48,77,40,6.0,RU,1690115013
94,weno,7.4515,151.8468,299.12,100,100,1.54,FM,1690115013
95,bodo,67.28,14.405,288.58,82,75,2.57,NO,1690115013
96,poiares,40.2103,-8.2575,301.93,41,31,4.03,PT,1690115013
97,island harbour,50.724,-1.2758,294.93,79,99,3.13,GB,1690115013
98,hamilton,39.1834,-84.5333,294.26,91,0,1.54,US,1690114861
99,port-gentil,-0.7193,8.7815,300.13,74,75,5.14,GA,1690115013
100,nikolayevsk-on-amure,53.1406,140.73,289.76,69,21,1.14,RU,1690115014
101,berezovyy,51.6667,135.7,295.39,49,100,1.23,RU,1690115014
102,yellowknife,62.456,-114.3525,287.44,77,100,2.57,CA,1690115014
103,strezhevoy,60.7333,77.5889,299.69,35,100,2.67,RU,1690115014
104,tiksi,71.6872,128.8694,278.69,74,74,2.1,RU,1690115014
105,sandnessjoen,66.0217,12.6316,287.44,88,75,2.57,NO,1690115014
106,capinota,-17.7167,-66.2333,288.85,23,0,0.53,BO,1690115014
107,jamestown,42.097,-79.2353,292.92,94,20,1.54,US,1690114809
108,la passe,45.5549,-0.8967,297.28,62,100,5.4,FR,1690115014
109,nishifukuma,33.7667,130.4667,303.15,84,93,2.03,JP,1690115015
110,harper,4.375,-7.7169,299.09,79,100,4.58,LR,1690115015
111,hawaiian paradise park,19.5933,-154.9731,296.5,99,75,2.06,US,1690115015
112,martellago,45.5442,12.1607,303.73,49,20,2.57,IT,1690115015
113,kavaratti,10.5669,72.642,301.17,82,98,9.74,IN,1690115015
114,vernon,50.2581,-119.2691,291.65,59,18,0.51,CA,1690115015
115,kapuskasing,49.4169,-82.4331,289.2,77,20,2.57,CA,1690114803
116,hithadhoo,-0.6,73.0833,301.31,76,12,4.23,MV,1690115015
117,alaghsas,17.0187,8.0168,313.09,31,20,4.63,NE,1690115015
118,christiana,-27.914,25.1611,296.53,25,99,10.68,ZA,1690115016
119,mont-dore,-22.2833,166.5833,293.71,99,13,0.48,NC,1690115016
120,sola,-13.8833,167.55,297.7,83,100,10.79,VU,1690115016
121,iskateley,67.6803,53.1512,291.58,84,100,2.54,RU,1690114880
122,belmonte,-15.8631,-38.8828,296.45,82,39,1.96,BR,1690115016
123,sitka,57.0531,-135.33,287.09,94,100,0.0,US,1690115016
124,fale old settlement,-9.3852,-171.2468,301.71,75,4,5.5,TK,1690115016
125,katsuura,35.1333,140.3,296.86,86,41,2.6,JP,1690115016
126,hadibu,12.65,54.0333,299.21,74,100,10.32,YE,1690115016
127,east london,-33.0153,27.9116,292.67,52,20,5.66,ZA,1690115017
128,shindand,33.3029,62.1474,311.58,10,0,11.67,AF,1690115017
129,aykhal,66.0,111.5,298.31,39,37,5.43,RU,1690115017
130,carnarvon,-24.8667,113.6333,292.54,34,0,4.49,AU,1690114726
131,port mathurin,-19.6833,63.4167,295.72,76,24,7.69,MU,1690115017
132,inhambane,-23.865,35.3833,298.14,61,0,6.69,MZ,1690115017
133,sinabang,2.4803,96.3801,300.29,78,89,1.47,ID,1690115017
134,novodvinsk,64.4165,40.8122,288.74,95,99,2.38,RU,1690115017
135,bathsheba,13.2167,-59.5167,302.49,79,40,7.72,BB,1690115018
136,palikir - national government center,6.9248,158.1611,297.56,94,100,7.12,FM,1690115018
137,beaufort west,-32.3567,22.583,286.55,31,8,3.94,ZA,1690115018
138,taiyuan,37.8694,112.5603,303.07,35,0,1.0,CN,1690115018
139,sovetskaya gavan',48.9723,140.2878,291.33,85,100,1.84,RU,1690115018
140,sao joao da barra,-21.6403,-41.0511,295.2,82,95,5.39,BR,1690115018
141,wailua homesteads,22.0669,-159.378,298.59,92,100,6.69,US,1690115018
142,boende,-0.2167,20.8667,311.61,28,49,0.59,CD,1690115018
143,nikol'sk,53.7189,46.0712,295.09,55,92,2.85,RU,1690115018
144,san antonio de pale,-1.4014,5.6325,296.19,78,59,4.31,GQ,1690115019
145,nemuro,43.3236,145.575,288.76,96,83,4.72,JP,1690115019
146,saldanha,-33.0117,17.9442,289.18,67,66,5.24,ZA,1690115019
147,greenville,35.6127,-77.3663,296.16,99,0,0.0,US,1690115019
148,kourou,5.1552,-52.6478,301.18,78,33,3.1,GF,1690115019
149,chonchi,-42.6128,-73.8092,272.71,91,61,0.44,CL,1690115019
150,fada,9.5667,8.3,300.81,67,86,0.79,NG,1690115019
151,black point,-34.6187,137.8972,284.99,80,98,4.28,AU,1690115019
152,raja,8.4596,25.678,307.89,33,72,2.21,SS,1690115020
153,kapoeta,4.7717,33.5903,307.64,30,31,5.7,SS,1690115020
154,stanley,54.868,-1.6985,287.48,91,100,5.09,GB,1690114999
155,saipan,15.1355,145.701,300.73,100,20,3.6,MP,1690115020
156,waynesboro,38.0685,-78.8895,294.9,93,0,0.0,US,1690114899
157,kunduz,36.75,68.75,314.79,9,0,4.56,AF,1690115020
158,tazacorte,28.629,-17.9293,298.69,77,20,6.17,ES,1690115020
159,grand-bassam,5.2118,-3.7388,301.13,76,96,3.88,CI,1690115020
160,mount isa,-20.7333,139.5,286.02,44,0,6.17,AU,1690115021
161,teguise,29.0605,-13.564,298.27,50,20,8.75,ES,1690115021
162,flying fish cove,-10.4217,105.6791,297.97,88,100,5.14,CX,1690115021
163,isangel,-19.55,169.2667,293.27,64,1,3.95,VU,1690115021
164,'ain benian,36.8028,2.9219,320.18,35,18,1.37,DZ,1690115021
165,kailua-kona,19.6406,-155.9956,299.13,89,0,2.57,US,1690115021
166,gulu,2.7746,32.299,303.44,35,18,1.47,UG,1690115021
167,teknaf,20.8624,92.3058,301.64,84,66,4.35,BD,1690115021
168,linxia chengguanzhen,35.6003,103.2064,289.92,87,77,1.45,CN,1690114952
169,afif,23.9065,42.9172,314.61,5,28,1.13,SA,1690115022
170,puerto aysen,-45.4,-72.7,272.91,97,77,0.84,CL,1690115022
171,mahina,-17.5065,-149.489,296.02,73,20,2.06,PF,1690115022
172,slavgorod,52.9978,78.6449,300.37,36,93,1.6,RU,1690115022
173,st. john's,47.5649,-52.7093,294.7,97,100,3.6,CA,1690114923
174,bargaal,11.2864,51.0773,308.97,37,96,12.25,SO,1690115022
175,port hedland,-20.3167,118.5667,293.18,19,0,4.12,AU,1690115022
176,kissidougou,9.1848,-10.0999,298.54,78,99,2.12,GN,1690115022
177,saint-pierre,-21.3393,55.4781,295.97,64,100,1.54,RE,1690115022
178,bandon,51.7469,-8.7425,291.92,81,100,3.11,IE,1690115023
179,mahdia,35.5047,11.0622,316.12,23,0,5.76,TN,1690115023
180,inongo,-1.95,18.2667,298.32,63,80,3.06,CD,1690115023
181,prescott,34.54,-112.4685,294.23,60,0,2.06,US,1690115023
182,troitskoye,52.9821,84.6757,292.93,85,86,4.11,RU,1690115023
183,ujae,8.9322,165.7642,301.96,76,100,7.21,MH,1690115023
184,kodinsk,58.6881,99.1844,295.91,52,70,0.86,RU,1690115023
185,sisimiut,66.9395,-53.6735,278.83,97,100,3.84,GL,1690115023
186,ta`u,-14.2336,-169.5144,300.0,82,13,1.38,AS,1690115024
187,christchurch,-43.5333,172.6333,283.66,94,100,6.17,NZ,1690115024
188,lhokseumawe,5.1801,97.1507,300.4,83,76,1.62,ID,1690115024
189,virginia beach,36.8529,-75.978,299.28,89,20,0.0,US,1690114755
190,codrington,-38.2667,141.9667,283.69,83,100,3.03,AU,1690115024
191,avigliano,40.7329,15.72,305.19,29,41,7.3,IT,1690115024
192,suluktu,39.9337,69.57,303.86,18,2,3.63,KG,1690115024
193,qarah bagh,34.9402,61.7759,307.43,10,0,11.72,AF,1690115024
194,okhotsk,59.3833,143.3,288.4,80,35,3.21,RU,1690115025
195,hasaki,35.7333,140.8333,297.76,80,27,3.21,JP,1690115025
